id,reviews_per_month,last_review,number_of_reviews
2539,0.21,2018/10/19,9
2595,0.38,2019/05/21,45
3647,,,0
3831,4.64,2019/07/05,270
5022,0.1,2018/11/19,9
5099,0.59,2019/06/22,74
5121,0.4,2017/10/05,49
5178,3.47,2019/06/24,430
5203,0.99,2017/07/21,118
5238,1.33,2019/06/09,160
5295,0.43,2019/06/22,53
5441,1.5,2019/06/23,188
5803,1.34,2019/06/24,167
6021,0.91,2019/07/05,113
6090,0.22,2018/10/31,27
6848,1.2,2019/06/29,148
7097,1.72,2019/06/28,198
7322,2.12,2019/07/01,260
7726,4.44,2019/06/22,53
7750,,,0
7801,0.07,2011/12/28,9
8024,1.09,2019/07/01,130
8025,0.37,2019/01/01,39
8110,0.61,2019/07/02,71
8490,0.73,2019/06/19,88
8505,1.37,2019/06/23,19
8700,,,0
9357,0.49,2017/08/13,58
9518,1.11,2019/06/15,108
9657,0.24,2019/04/19,29
9668,2.04,2019/06/01,242
9704,1.42,2019/06/14,88
9782,1.65,2019/06/15,197
9783,2.37,2019/07/01,273
10452,0.66,2019/05/12,74
10962,1.41,2019/06/21,168
11452,,,0
11708,1.96,2019/06/22,231
11943,,,0
12048,1.81,2019/07/05,214
12192,2.08,2019/06/21,245
12299,0.39,2019/05/27,15
12303,0.23,2018/09/30,25
12318,0.69,2019/06/16,81
12343,0.84,2019/06/13,97
12627,0.49,2019/06/05,11
12937,2.25,2019/07/01,248
12940,0.52,2019/05/25,61
13050,0.1,2017/01/01,11
13394,1.16,2019/06/17,135
13808,1.01,2019/06/16,112
14287,0.63,2019/07/07,73
14290,0.7,2019/05/17,82
14314,2.82,2019/06/29,328
14322,0.22,2019/03/25,19
14377,0.9,2019/06/22,105
14991,0.17,2019/05/18,19
15220,2.49,2019/06/09,289
15338,1.19,2019/06/04,138
15341,0.3,2019/06/29,21
15385,0.38,2019/06/30,42
15396,0.12,2018/11/03,5
15711,0.57,2019/03/30,66
16326,1.33,2019/01/26,143
16338,0.23,2017/09/30,27
16421,1.65,2019/05/16,191
16458,0.16,2017/09/24,4
16580,4.72,2019/07/01,338
16595,1.4,2019/06/23,148
16821,1.26,2019/06/21,106
16974,1.64,2019/06/23,190
17037,0.43,2018/05/14,49
17092,0.43,2019/06/01,23
17693,1.6,2019/06/18,49
17747,0.92,2019/06/26,105
18127,0.2,2019/01/02,21
18152,1.5,2019/07/06,142
18198,0.22,2019/05/31,25
18590,1.28,2019/06/16,143
18728,1.65,2019/05/28,167
18764,0.54,2019/04/22,61
19159,0.49,2019/03/23,54
19169,0.62,2019/06/30,70
19282,0.15,2019/06/15,16
19319,0.84,2019/04/08,94
19601,0.24,2016/08/04,25
19812,0.53,2018/08/09,61
20299,1.73,2019/06/30,194
20300,0.05,2016/02/14,2
20611,1.54,2019/06/22,174
20724,0.28,2019/05/26,24
20734,3.4,2019/06/27,166
20755,0.2,2019/05/31,16
20853,0.3,2019/05/21,21
20913,1.57,2018/07/22,168
21293,1.05,2019/06/18,118
21456,0.71,2019/07/07,81
21644,0.11,2018/10/09,1
21794,0.27,2019/05/01,30
22911,1.23,2018/10/28,139
22918,0.87,2019/01/03,11
23135,2.09,2019/06/24,233
23501,0.6,2012/11/01,68
23686,0.55,2019/05/18,46
24143,3.02,2019/05/29,335
24285,0.79,2018/11/02,88
25235,1.46,2019/06/28,162
25406,0.4,2018/05/26,29
25696,1.61,2019/06/23,170
26012,0.2,2017/03/17,19
26362,3,2019/06/16,334
26520,0.2,2019/06/02,19
26559,0.13,2017/12/11,12
26785,4.22,2018/12/30,467
26933,0.06,2017/08/09,7
26954,0.38,2015/12/02,38
26969,3.01,2019/06/23,324
27006,0.27,2019/04/27,27
27385,1.05,2019/06/07,115
27531,3.2,2019/05/20,354
27644,2.03,2019/07/01,195
27659,0.24,2018/12/30,16
27759,0.12,2019/06/26,13
27883,0.23,2011/12/10,25
28321,0.08,2018/10/05,9
28396,0.08,2011/09/18,9
28907,0.19,2017/08/15,21
29012,0.33,2017/08/17,36
29013,0.58,2019/05/14,63
29455,1.42,2019/06/20,155
29628,2.35,2019/07/03,260
29683,0.66,2019/06/25,73
30031,1.86,2019/05/20,193
30927,0.29,2019/06/14,32
31130,0.45,2019/05/26,50
31555,0.25,2019/07/01,26
31902,0.02,2019/01/01,2
31994,3.89,2019/06/24,426
32023,2.09,2019/06/23,227
32037,0.77,2019/07/01,84
32100,0.03,2017/07/30,3
32289,0.1,2018/06/11,10
32331,0.04,2016/04/24,4
32363,0.01,2011/09/19,1
32965,1.72,2019/06/20,124
32969,0.11,2019/07/02,11
33009,2.19,2019/06/17,240
33014,0.28,2019/06/17,30
33223,1.86,2019/06/22,200
34760,1.05,2019/06/29,27
35526,0.74,2019/06/22,79
36121,0.09,2013/05/10,9
36133,1.61,2019/06/13,155
36442,0.05,2018/08/27,4
36647,0.32,2017/05/29,34
36703,1.24,2019/03/31,134
36934,0.25,2018/12/27,27
38638,1.16,2019/06/26,126
38663,0.27,2018/12/31,23
39267,2.6,2019/06/08,234
39282,1.86,2019/05/28,202
39593,0.26,2019/04/12,28
39704,2.86,2019/06/22,309
40039,0.13,2011/04/25,14
40453,0.08,2016/09/23,4
41348,2.17,2019/07/06,80
41513,0.04,2015/11/02,2
42580,3.47,2019/06/24,294
42729,1.4,2019/06/18,150
42882,1.66,2019/06/13,166
43957,0.94,2019/06/19,47
44096,2.04,2019/07/04,219
44161,1.78,2016/07/06,193
44212,0.78,2019/06/23,84
44221,1.06,2019/06/20,114
44229,2,2019/06/24,213
44288,0.8,2019/06/01,86
44506,0.75,2019/05/26,80
45393,0.36,2016/04/20,38
45542,1.79,2018/12/17,18
45556,1.92,2019/06/30,206
45910,0.11,2019/05/12,10
45936,1.18,2019/05/14,122
45940,0.58,2019/04/08,33
46544,0.5,2019/06/05,52
46723,1.17,2019/05/19,126
46911,0.48,2019/06/24,51
47199,1.85,2019/06/24,199
47362,0.29,2012/09/03,30
47370,0.03,2015/07/17,3
47926,0.38,2019/06/26,41
48719,1.04,2019/06/15,109
50447,1.43,2019/06/22,151
51438,,,0
51485,2.69,2019/06/22,285
51572,3.52,2019/06/18,375
51850,0.49,2019/05/20,52
53137,1.01,2019/07/01,10
53196,0.48,2017/11/13,11
53469,0.31,2015/05/09,33
53470,0.06,2015/10/08,6
53477,0.38,2019/04/27,38
54158,3.44,2019/06/20,358
54453,0.09,2014/01/07,10
54466,,,0
54508,2.12,2019/06/06,226
54544,1,2019/06/22,104
54626,1.45,2019/06/30,138
54860,1.92,2019/06/23,204
55467,3.04,2019/07/02,253
55498,0.22,2019/07/01,23
55668,1.17,2018/12/05,115
55737,1.22,2019/05/19,129
55959,1.13,2019/06/10,82
55982,0.35,2018/12/31,37
56467,2.04,2019/07/01,204
56525,0.65,2019/06/13,69
56859,1.84,2019/06/03,192
57166,0.16,2019/06/17,17
57297,2.12,2019/06/24,222
57468,1.96,2019/06/23,205
57618,0.96,2019/06/09,94
57740,0.07,2019/05/24,7
57754,1.09,2019/06/30,108
57874,2.1,2019/06/26,222
58059,4.58,2019/07/03,458
58062,0.26,2019/05/17,21
58467,0.3,2019/05/08,17
59014,0.39,2019/01/02,41
59121,0.01,2012/09/17,1
59642,0.67,2019/05/19,69
59709,0.18,2019/07/01,18
59855,0.78,2016/01/05,82
60164,0.99,2019/06/23,94
60457,0.1,2019/05/11,10
60611,1.83,2018/09/29,183
60666,1.82,2019/06/11,189
60673,0.11,2018/10/07,1
60680,1.22,2019/06/20,127
60794,0.04,2017/08/25,4
60948,1.3,2019/06/20,135
61167,0.2,2015/12/12,21
61224,0.34,2017/07/27,35
61406,2.21,2019/06/01,10
61492,1.8,2019/06/23,171
61509,0.9,2019/04/30,92
62095,2.3,2019/06/14,238
62427,0.58,2019/05/26,56
62430,2.13,2019/06/22,111
62452,1.85,2019/06/25,193
62461,1.44,2019/06/10,147
62787,1.71,2019/07/02,177
62891,1.78,2019/05/24,185
62903,0.7,2019/06/21,62
62925,1.22,2019/06/16,124
63299,1.77,2019/06/23,181
63320,3.19,2019/07/02,333
63360,4.5,2019/06/24,441
63546,0.46,2019/05/16,45
63573,0.09,2016/08/29,9
63588,,,0
63610,0.5,2019/06/27,38
63657,2.39,2019/06/25,248
63693,1.38,2019/06/19,143
63719,0.41,2018/08/19,36
63913,,,0
64000,0.14,2019/01/07,14
64015,,,0
64107,2.69,2019/06/24,279
64277,0.22,2019/01/02,18
64314,3.55,2019/05/26,50
64365,2.27,2019/06/27,227
64707,0.16,2019/01/02,1
64837,1.96,2019/06/23,203
65019,2.1,2019/07/06,210
65268,0.67,2019/01/05,64
65556,,,0
65562,0.15,2019/01/03,5
65615,0.48,2019/06/29,49
65660,1.27,2019/07/07,132
65813,0.26,2019/01/02,20
65834,0.11,2013/05/02,11
66008,0.57,2019/07/01,51
66026,0.15,2019/06/30,15
66251,1.31,2019/06/25,67
66275,1.11,2019/06/23,109
66451,0.11,2019/02/16,9
66718,1.87,2019/06/23,187
